t = 1.5
             x             y          prec          calc          diff    n loc
  0.000000e+00  4.000000e+00  3.375000e+00  3.375000e+00  0.000000e+00    0 border
  1.250000e+00  4.000000e+00  4.625000e+00  4.625000e+00  2.753353e-14    1 border
  2.500000e+00  4.000000e+00  5.875000e+00  5.875000e+00  3.552714e-15    2 border
  3.750000e+00  4.000000e+00  7.125000e+00  7.125000e+00  1.421085e-14    3 border
  5.000000e+00  4.000000e+00  8.375000e+00  8.375000e+00  1.243450e-14    4 border
  0.000000e+00  5.000000e+00  3.375000e+00  3.375000e+00  5.240253e-14    5 border
  1.250000e+00  5.000000e+00  4.625000e+00  4.625000e+00  5.329071e-15    6 inner
  2.500000e+00  5.000000e+00  5.875000e+00  5.875000e+00  2.664535e-15    7 inner
  3.750000e+00  5.000000e+00  7.125000e+00  7.125000e+00  4.440892e-15    8 inner
  5.000000e+00  5.000000e+00  8.375000e+00  8.375000e+00  6.394885e-14    9 border
  0.000000e+00  6.000000e+00  3.375000e+00  3.375000e+00  7.993606e-15   10 border
  1.250000e+00  6.000000e+00  4.625000e+00  4.625000e+00  5.329071e-15   11 inner
  2.500000e+00  6.000000e+00  5.875000e+00  5.875000e+00  8.881784e-16   12 inner
  3.750000e+00  6.000000e+00  7.125000e+00  7.125000e+00  7.105427e-15   13 inner
  5.000000e+00  6.000000e+00  8.375000e+00  8.375000e+00  8.881784e-15   14 border
  0.000000e+00  7.000000e+00  3.375000e+00  3.375000e+00  5.817569e-14   15 border
  1.250000e+00  7.000000e+00  4.625000e+00  4.625000e+00  6.217249e-15   16 inner
  2.500000e+00  7.000000e+00  5.875000e+00  5.875000e+00  1.776357e-15   17 inner
  3.750000e+00  7.000000e+00  7.125000e+00  7.125000e+00  4.440892e-15   18 inner
  5.000000e+00  7.000000e+00  8.375000e+00  8.375000e+00  5.861978e-14   19 border
  0.000000e+00  8.000000e+00  3.375000e+00  3.375000e+00  3.552714e-15   20 border
  1.250000e+00  8.000000e+00  4.625000e+00  4.625000e+00  1.243450e-14   21 border
  2.500000e+00  8.000000e+00  5.875000e+00  5.875000e+00  3.552714e-15   22 border
  3.750000e+00  8.000000e+00  7.125000e+00  7.125000e+00  1.509903e-14   23 border
  5.000000e+00  8.000000e+00  8.375000e+00  8.375000e+00  3.552714e-15   24 border
t = 2.000000
             x             y          prec          calc          diff    n loc
  0.000000e+00  4.000000e+00  8.000000e+00  8.000000e+00  6.217249e-15    0 border
  1.250000e+00  4.000000e+00  9.250000e+00  9.250000e+00  5.506706e-14    1 border
  2.500000e+00  4.000000e+00  1.050000e+01  1.050000e+01  1.421085e-14    2 border
  3.750000e+00  4.000000e+00  1.175000e+01  1.175000e+01  1.048051e-13    3 border
  5.000000e+00  4.000000e+00  1.300000e+01  1.300000e+01  1.776357e-15    4 border
  0.000000e+00  5.000000e+00  8.000000e+00  8.000000e+00  1.190159e-13    5 border
  1.250000e+00  5.000000e+00  9.250000e+00  9.250000e+00  2.309264e-14    6 inner
  2.500000e+00  5.000000e+00  1.050000e+01  1.050000e+01  8.881784e-15    7 inner
  3.750000e+00  5.000000e+00  1.175000e+01  1.175000e+01  1.243450e-14    8 inner
  5.000000e+00  5.000000e+00  1.300000e+01  1.300000e+01  1.598721e-14    9 border
  0.000000e+00  6.000000e+00  8.000000e+00  8.000000e+00  5.329071e-15   10 border
  1.250000e+00  6.000000e+00  9.250000e+00  9.250000e+00  1.776357e-14   11 inner
  2.500000e+00  6.000000e+00  1.050000e+01  1.050000e+01  1.776357e-15   12 inner
  3.750000e+00  6.000000e+00  1.175000e+01  1.175000e+01  2.131628e-14   13 inner
  5.000000e+00  6.000000e+00  1.300000e+01  1.300000e+01  7.460699e-14   14 border
  0.000000e+00  7.000000e+00  8.000000e+00  8.000000e+00  6.750156e-14   15 border
  1.250000e+00  7.000000e+00  9.250000e+00  9.250000e+00  1.598721e-14   16 inner
  2.500000e+00  7.000000e+00  1.050000e+01  1.050000e+01  5.329071e-15   17 inner
  3.750000e+00  7.000000e+00  1.175000e+01  1.175000e+01  1.598721e-14   18 inner
  5.000000e+00  7.000000e+00  1.300000e+01  1.300000e+01  3.552714e-15   19 border
  0.000000e+00  8.000000e+00  8.000000e+00  8.000000e+00  4.440892e-15   20 border
  1.250000e+00  8.000000e+00  9.250000e+00  9.250000e+00  5.151435e-14   21 border
  2.500000e+00  8.000000e+00  1.050000e+01  1.050000e+01  7.105427e-15   22 border
  3.750000e+00  8.000000e+00  1.175000e+01  1.175000e+01  9.769963e-14   23 border
  5.000000e+00  8.000000e+00  1.300000e+01  1.300000e+01  5.329071e-15   24 border
t = 2.500000
             x             y          prec          calc          diff    n loc
  0.000000e+00  4.000000e+00  1.562500e+01  1.562500e+01  1.421085e-14    0 border
  1.250000e+00  4.000000e+00  1.687500e+01  1.687500e+01  7.105427e-15    1 border
  2.500000e+00  4.000000e+00  1.812500e+01  1.812500e+01  3.907985e-14    2 border
  3.750000e+00  4.000000e+00  1.937500e+01  1.937500e+01  8.526513e-14    3 border
  5.000000e+00  4.000000e+00  2.062500e+01  2.062500e+01  2.131628e-14    4 border
  0.000000e+00  5.000000e+00  1.562500e+01  1.562500e+01  2.842171e-14    5 border
  1.250000e+00  5.000000e+00  1.687500e+01  1.687500e+01  2.486900e-14    6 inner
  2.500000e+00  5.000000e+00  1.812500e+01  1.812500e+01  5.329071e-14    7 inner
  3.750000e+00  5.000000e+00  1.937500e+01  1.937500e+01  2.842171e-14    8 inner
  5.000000e+00  5.000000e+00  2.062500e+01  2.062500e+01  3.943512e-13    9 border
  0.000000e+00  6.000000e+00  1.562500e+01  1.562500e+01  2.486900e-14   10 border
  1.250000e+00  6.000000e+00  1.687500e+01  1.687500e+01  1.421085e-14   11 inner
  2.500000e+00  6.000000e+00  1.812500e+01  1.812500e+01  2.131628e-14   12 inner
  3.750000e+00  6.000000e+00  1.937500e+01  1.937500e+01  1.421085e-14   13 inner
  5.000000e+00  6.000000e+00  2.062500e+01  2.062500e+01  2.131628e-14   14 border
  0.000000e+00  7.000000e+00  1.562500e+01  1.562500e+01  2.771117e-13   15 border
  1.250000e+00  7.000000e+00  1.687500e+01  1.687500e+01  1.421085e-14   16 inner
  2.500000e+00  7.000000e+00  1.812500e+01  1.812500e+01  3.907985e-14   17 inner
  3.750000e+00  7.000000e+00  1.937500e+01  1.937500e+01  0.000000e+00   18 inner
  5.000000e+00  7.000000e+00  2.062500e+01  2.062500e+01  3.197442e-14   19 border
  0.000000e+00  8.000000e+00  1.562500e+01  1.562500e+01  7.105427e-15   20 border
  1.250000e+00  8.000000e+00  1.687500e+01  1.687500e+01  6.039613e-14   21 border
  2.500000e+00  8.000000e+00  1.812500e+01  1.812500e+01  6.039613e-14   22 border
  3.750000e+00  8.000000e+00  1.937500e+01  1.937500e+01  2.842171e-14   23 border
  5.000000e+00  8.000000e+00  2.062500e+01  2.062500e+01  1.421085e-14   24 border
t = 3.000000
             x             y          prec          calc          diff    n loc
  0.000000e+00  4.000000e+00  2.700000e+01  2.700000e+01  2.842171e-14    0 border
  1.250000e+00  4.000000e+00  2.825000e+01  2.825000e+01  1.207923e-13    1 border
  2.500000e+00  4.000000e+00  2.950000e+01  2.950000e+01  6.750156e-14    2 border
  3.750000e+00  4.000000e+00  3.075000e+01  3.075000e+01  9.592327e-14    3 border
  5.000000e+00  4.000000e+00  3.200000e+01  3.200000e+01  2.486900e-14    4 border
  0.000000e+00  5.000000e+00  2.700000e+01  2.700000e+01  3.019807e-13    5 border
  1.250000e+00  5.000000e+00  2.825000e+01  2.825000e+01  3.197442e-14    6 inner
  2.500000e+00  5.000000e+00  2.950000e+01  2.950000e+01  8.171241e-14    7 inner
  3.750000e+00  5.000000e+00  3.075000e+01  3.075000e+01  5.684342e-14    8 inner
  5.000000e+00  5.000000e+00  3.200000e+01  3.200000e+01  7.815970e-14    9 border
  0.000000e+00  6.000000e+00  2.700000e+01  2.700000e+01  1.776357e-14   10 border
  1.250000e+00  6.000000e+00  2.825000e+01  2.825000e+01  3.907985e-14   11 inner
  2.500000e+00  6.000000e+00  2.950000e+01  2.950000e+01  2.842171e-14   12 inner
  3.750000e+00  6.000000e+00  3.075000e+01  3.075000e+01  1.065814e-14   13 inner
  5.000000e+00  6.000000e+00  3.200000e+01  3.200000e+01  1.278977e-13   14 border
  0.000000e+00  7.000000e+00  2.700000e+01  2.700000e+01  7.105427e-14   15 border
  1.250000e+00  7.000000e+00  2.825000e+01  2.825000e+01  4.263256e-14   16 inner
  2.500000e+00  7.000000e+00  2.950000e+01  2.950000e+01  4.263256e-14   17 inner
  3.750000e+00  7.000000e+00  3.075000e+01  3.075000e+01  2.486900e-14   18 inner
  5.000000e+00  7.000000e+00  3.200000e+01  3.200000e+01  4.689582e-13   19 border
  0.000000e+00  8.000000e+00  2.700000e+01  2.700000e+01  7.105427e-15   20 border
  1.250000e+00  8.000000e+00  2.825000e+01  2.825000e+01  2.486900e-14   21 border
  2.500000e+00  8.000000e+00  2.950000e+01  2.950000e+01  4.263256e-14   22 border
  3.750000e+00  8.000000e+00  3.075000e+01  3.075000e+01  4.973799e-14   23 border
  5.000000e+00  8.000000e+00  3.200000e+01  3.200000e+01  1.776357e-14   24 border
t = 3.500000
             x             y          prec          calc          diff    n loc
  0.000000e+00  4.000000e+00  4.287500e+01  4.287500e+01  2.131628e-14    0 border
